"시도별","주요 업종별",2018,2019,2020
"경상북도","외국식 음식점업",259,247,295
"경상북도","제과점업",323,350,351
"경상북도","피자, 햄버거, 샌드위치 및 유사 음식점업",568,592,649
"경상북도","치킨전문점",1568,1546,1604
"경상북도","김밥, 기타 간이음식점 및 포장 판매점",644,628,718
"경상북도","생맥주 및 기타 주점업",701,601,598
"경상북도","커피 및 기타 비알코올 음료점업",786,810,958
"경상북도","자동차 전문 수리업",418,398,355
"경상북도","두발 미용업",79,62,51
"경상북도","가정용 세탁업",175,198,202
"경상북도","기타 프랜차이즈",1022,1118,1197
"경상남도","체인화 편의점",2858,2814,3084
"경상남도","문구용품 및 회화용품 소매업",133,140,132
"경상남도","의약품 및 의료용품 소매업",194,202,209
"경상남도","안경 및 렌즈 소매업",208,211,209
"경상남도","한식 음식점업",2059,2135,2303
"경상남도","외국식 음식점업",405,397,433
"경상남도","제과점업",458,470,486
"경상남도","피자, 햄버거, 샌드위치 및 유사 음식점업",812,809,933
"경상남도","치킨전문점",2096,2239,2333
"경상남도","김밥, 기타 간이음식점 및 포장 판매점",787,836,1018
"경상남도","생맥주 및 기타 주점업",1002,887,843
"경상남도","커피 및 기타 비알코올 음료점업",1052,1037,1415
"경상남도","자동차 전문 수리업",628,629,412
"경상남도","두발 미용업",119,111,130
"경상남도","가정용 세탁업",286,283,280
"경상남도","기타 프랜차이즈",1485,1576,1688
"제주특별자치도","체인화 편의점",1026,1075,1183
"제주특별자치도","문구용품 및 회화용품 소매업",23,21,21
"제주특별자치도","의약품 및 의료용품 소매업",46,54,57
"제주특별자치도","안경 및 렌즈 소매업",40,49,54
"제주특별자치도","한식 음식점업",228,279,384
"제주특별자치도","외국식 음식점업",69,81,76
"제주특별자치도","제과점업",108,112,113
"제주특별자치도","피자, 햄버거, 샌드위치 및 유사 음식점업",128,151,178
"제주특별자치도","치킨전문점",319,335,389
"제주특별자치도","김밥, 기타 간이음식점 및 포장 판매점",145,157,214
"제주특별자치도","생맥주 및 기타 주점업",190,181,189
"제주특별자치도","커피 및 기타 비알코올 음료점업",210,216,250
"제주특별자치도","자동차 전문 수리업",78,77,73
"제주특별자치도","두발 미용업",23,26,34
"제주특별자치도","가정용 세탁업",56,84,76
"제주특별자치도","기타 프랜차이즈",333,390,446
